CAPITAL,TEMP. MIN,TEMP. MAX,UMID. RELATIVA%
ARACAJU,24.2,29.2,47.0
BELEM,24.0,34.8,44.0
BELO HORIZONTE,17.9,26.0,50.0
BOA VISTA,27.4,33.8,42.0
BRASILIA,14.5,26.4,33.0
CAMPO GRANDE,23.4,33.1,21.0
CUIABA,23.9,37.8,14.0
CURITIBA,,,
FLORIANOPOLIS,17.3,22.7,72.0
FORTALEZA,-,-,-
GOIANIA,20.5,31.3,22.0
JOAO PESSOA,21.9,29.2,54.0
MACAPA,27.5,33.1,
MACEIÓ,21.2,27.5,69.0
MANAUS,25.9,34.1,49.0
NATAL,,,
PALMAS,,,
PORTO ALEGRE,14.8,26.5,96.0
PORTO VELHO,22.3,36.6,30.0
RECIFE,,,
RIO BRANCO,22.3,35.5,37.0
RIO DE JANEIRO,17.1,32.3,42.0
SALVADOR,21.8,28.1,58.0
SAO LUIS,23.4,31.8,51.0
SAO PAULO,,,
TERESINA,17.6,35.5,25.0
VITORIA,,,
